,titles,subtitles,links
0,SA-BLITZER,Sabitzer lucky to escape red as Souness accuses him of DELIBERATE X-rated tackle,https://www.thesun.co.uk/sport/21439103/man-utd-marcel-sabitzer-red-card-souness/
1,TOTTENHAM 1 WEST HAM 0,Spurs look to recover from AC Milan defeat against the Hammers,https://www.thesun.co.uk/sport/21426445/tottenham-west-ham-live-score-stream-tv-channel-watch-premier-league-online/
2,BACK IN ACTION,Ex-Premier League boss shocks fans by turning out for non-league minnows,https://www.thesun.co.uk/sport/21439164/premier-league-manager-plays-non-league/
3,AZPI UPDATE,Azpilicueta breaks silence after Chelsea ace KOd and stretchered off vs Saints,https://www.thesun.co.uk/sport/21439280/azpilicueta-injury-update-knocked-out-chelsea-southampton/
4,TAPPING UP,Man Utd fans convinced Tielemans is joining them after Ten Hag's sneaky gesture,https://www.thesun.co.uk/sport/21439363/man-utd-fans-tielemans-transfer-ten-hag-sneaky/
5,WRONG MARC,Fans say VAR 'rigged' as Rashford looks offside for second goal in win vs Foxes,https://www.thesun.co.uk/sport/21438481/marcus-rashford-man-utd-var-offside-fans/
6,MAN UTD PLAYER RATINGS,Rashford and David De Gea shine as Weghorst struggles against Foxes,https://www.thesun.co.uk/sport/21439336/man-utd-leceister-player-ratings-rashford/
7,WATCHING ON,Maguire sits in stands after Man Utd captain ruled out of Leicester clash,https://www.thesun.co.uk/sport/21438985/maguire-sits-in-stands-man-utd-leicester-injury/
8,INJURY SCARE,Neymar stretchered off in tears after nasty looking injury in huge blow to PSG,https://www.thesun.co.uk/sport/21438359/neymar-nasty-injury-psg-bayern/
9,RIK AND ROLL,Erik ten Hag speaks out on Man Utd takeover bids,https://www.thesun.co.uk/sport/21438613/ten-hag-speaks-man-utd-takeover-bids/
10,PREM PICK,Michael Owen names his Prem title favourite and claims Man Utd are in the hunt,https://www.thesun.co.uk/sport/21439684/michael-owen-arsenal-manchester-city-manchester-united/
11,'THAT'S AWFUL',Fans in hysterics as Bolton announce new borderline X-rated stadium name,https://www.thesun.co.uk/sport/21438816/bolton-new-stadium-name-change-x-rated/
12,PROMOTION,Best casino bonuses for UK players: Top 10 casino sites in 2023,https://www.thesun.co.uk/betting/20754895/casino-bonus/
13,MOUNTING ISSUES,Mason Mount's shocking stats vs Saints show how he ‘got eaten up’,https://www.thesun.co.uk/sport/21438166/mason-mount-southampton-kepa-arrizabalaga-chelsea/
14,SLAP HAPPY,Arsenal analyst Miguel Molina SLAPPED by rival Aston Villa staff in fiery row,https://www.thesun.co.uk/sport/21438314/arsenal-aston-villa-analyst-slap/
15,BIG HEARTED,Comedian reveals touching act by footballer Christian Atsu as body flown home,https://www.thesun.co.uk/sport/21439223/comedian-reveals-touching-act-christian-atsu/
16,ALL FER YOU,Chelsea and Spurs want Ferguson transfer with wonderkid impressing at Brighton,https://www.thesun.co.uk/sport/21437905/chelsea-tottenham-evan-ferguson-transfer/
17,LOST THE POTT,Graham Potter 'should be SACKED' for blaming rotation on Chelsea's woes,https://www.thesun.co.uk/sport/21438728/graham-potter-sacked-chelsea-rotation/
18,LOVE RAT'S HOL,Inside ex-England ace Jermain Defoe's Valentine's Dubai break with new lover,https://www.thesun.co.uk/sport/21434362/jermain-defoe-valentines-holiday-dubai-new-girlfriend/
19,HEART RACING,Rob McElhenney jokes he almost died after Wrexham's last-gasp win at Aldershot,https://www.thesun.co.uk/sport/21438725/wrexham-rob-mcelhenney-heart-attack/
20,MEAT ME OUTSIDE,Evra and Moyes had a huge row over a BACON SANDWICH at Man Utd,https://www.thesun.co.uk/sport/21438148/patrice-evra-david-moyes-man-united-bacon-sandwich/
21,TAKE QAT,Qatar STILL interested in Tottenham despite £5bn takeover bid for Man Utd,https://www.thesun.co.uk/sport/21437471/qatar-tottenham-bid-man-utd/
22,ROY PLOY,Man Utd legend Roy Keane gets answer after ticket request to Erik ten Hag,https://www.thesun.co.uk/sport/21435505/manchester-united-roy-keane-erik-ten-hag/
23,RED DEVILS RACE,How Man Utd takeover bidders compare from net worth to plans for club,https://www.thesun.co.uk/sport/21430027/sheikh-jassim-ratcliffe-how-man-utd-bidders-compare/
24,DOUBLE GLAZING,Staggering TAX FREE sum the Glazers will make when they sell Man Utd,https://www.thesun.co.uk/sport/21430119/glazers-man-utd-tax-free/
25,JIM'S BID,Sir Jim Ratcliffe's Man Utd bid is '£1billion less than Sheikh Jassim's offer',https://www.thesun.co.uk/sport/21431016/ratcliffe-man-utd-takeover-bid-less-sheikh-jassim/
26,SHEIKH UP,Name of 'fan' Sheikh Jassim's company set up to buy Man Utd shows love for club,https://www.thesun.co.uk/sport/21430387/sheikh-jassim-man-utd-company/
27,TOP 40,Football free bets: Get £40 bonus when you stake £10 with William Hill,https://www.thesun.co.uk/sport/20695257/william-hill-free-bets-sign-up-bonus-offer-register/
28,SIR JIM SPEAKS,Ratcliffe releases statement confirming Man Utd bid and makes two MAJOR vows,https://www.thesun.co.uk/sport/21431132/jim-ratcliffe-statement-man-utd-bid/
29,AMERICAN TRY,American billionaire hedge fund make last-minute hijack with swoop for Man Utd,https://www.thesun.co.uk/sport/21432183/billionaire-elliott-hijack-man-utd-bid/
30,RED DEVILS LIVE,"Takeover LATEST as US billionaire makes HIJACK bid, Glazers £6bn budge",https://www.thesun.co.uk/sport/21284701/man-utd-takeover-news-live-jim-ratcliffe-qatar-glazers/
31,TOON TRIBUTE,Atsu's wife & kids join emotional minute silence at Newcastle after his death,https://www.thesun.co.uk/sport/21437692/christian-atsu-wife-kids-st-james/
32,"BEN THERE, DONE THAT",Darwin Nunez compared to ex-Liverpool ace who 'struggled' by Benitez,https://www.thesun.co.uk/sport/21437066/darwin-nunez-liverpool-rafa-benitez/
